id,type,name,artistsOrShow,addedAt,releaseDate,durationMs,url,occurrenceCount,isDuplicateId
"2NWCiYPKGv5gj05AGiMYWW","episode","Your Brain on Birth Control - Dr. Sarah Hill | After Skool","","2026-02-02T05:06:31Z","2026-08-17","1114540","https://open.spotify.com/episode/2NWCiYPKGv5gj05AGiMYWW","1","false"
"45yI5mF7RbVSTp1BmEFSKq","episode","Carl Jung - How to Find Your Soul (written by Eternalised) | After Skool","","2026-02-02T05:07:15Z","2026-08-26","683859","https://open.spotify.com/episode/45yI5mF7RbVSTp1BmEFSKq","1","false"
"6O12kwWgc1rgtFshAXCpB4","episode","Choose Your Sacrifice - Jordan Peterson's Best Advice to Young Adults | After Skool","","2026-02-02T05:07:28Z","2026-08-21","494915","https://open.spotify.com/episode/6O12kwWgc1rgtFshAXCpB4","1","false"
"3cRqmTQBItez4b4w9QRtC7","episode","How to Have a Life Worth Living - Jordan Peterson | After Skool","","2026-02-02T06:57:15Z","2026-08-18","693472","https://open.spotify.com/episode/3cRqmTQBItez4b4w9QRtC7","1","false"
"4SeUcW8oq6dKGOebtaen44","episode","The Myth of Low-Serotonin & Antidepressants - Dr. Mark Horowitz | After Skool","","2026-02-02T06:59:03Z","2026-08-18","1816111","https://open.spotify.com/episode/4SeUcW8oq6dKGOebtaen44","1","false"
"0DIIEW5SnzXH0F9hJ0ODjM","episode","Jordan Peterson - An Antidote to Suffering | After Skool","","2026-02-02T06:59:27Z","2026-08-17","956943","https://open.spotify.com/episode/0DIIEW5SnzXH0F9hJ0ODjM","1","false"
"7r9kXpkxSYGLW1cSdCPW5A","episode","A More Sensible Approach to Fixing Health Care, Dr. Avik Roy","","2026-02-02T07:01:44Z","2020-10-17","2050246","https://open.spotify.com/episode/7r9kXpkxSYGLW1cSdCPW5A","1","false"
"5AAkcp9acy7LtdPgXd4FXp","episode","The Science of Love, Desire and Attachment","","2026-02-02T07:06:34Z","2022-02-14","8901616","https://open.spotify.com/episode/5AAkcp9acy7LtdPgXd4FXp","1","false"
"5lFUAtDxFv613d0na0VL2g","episode","The Science of Emotions & Relationships","","2026-02-02T07:07:01Z","2021-03-29","5727399","https://open.spotify.com/episode/5lFUAtDxFv613d0na0VL2g","1","false"
"57dQJY3KYa4DwRa2E1K98T","episode","296. Neuroscience Meets Psychology | Dr.  Andrew Huberman","","2026-02-02T07:08:04Z","2022-10-13","6034337","https://open.spotify.com/episode/57dQJY3KYa4DwRa2E1K98T","1","false"
